,objectid,acc_id,longitude,latitude,crash_date,crash_time,severity
49961,24343501,9545655,115.461335,-31.212427,5/06/2017,1245.0,Fatal
50240,24343780,9546242,115.81158500000001,-31.887263,2/06/2017,1717.0,Fatal
50515,24344055,9546794,115.90501299999998,-31.882295000000003,9/06/2017,,Fatal
50516,24344056,9546800,116.811152,-33.767145,8/06/2017,2120.0,Fatal
51027,24344567,9614047,115.71409799999999,-33.204848999999996,13/09/2017,1340.0,Fatal
51065,24344605,9614349,114.641406,-28.83853,14/09/2017,530.0,Fatal
51068,24344608,9614364,115.75437,-33.428529,17/09/2017,609.0,Fatal
51292,24344832,9614408,115.866041,-31.890093,18/09/2017,1950.0,Fatal
51293,24344833,9614414,115.899868,-32.123719,18/09/2017,1549.0,Fatal
51294,24344834,9614424,115.91386100000001,-31.855593,18/09/2017,1817.0,Fatal
51342,24344882,9614857,115.757478,-32.270831,20/09/2017,1715.0,Fatal
51343,24344883,9614861,115.90908799999998,-31.918839000000002,20/09/2017,1330.0,Fatal
51511,24345051,9596320,115.763795,-32.529817,27/07/2017,1750.0,Fatal
51629,24345169,9577786,115.62544299999999,-31.532808000000003,16/07/2017,2050.0,Fatal
51650,24345190,9577956,121.48631999999999,-30.780621000000004,11/07/2017,900.0,Fatal
51791,24345331,9596880,115.461795,-31.213240000000003,17/08/2017,715.0,Fatal
51792,24345332,9596887,118.05140800000001,-34.932673,17/08/2017,1608.0,Fatal
52330,24345870,9597813,117.093763,-33.100456,23/08/2017,1025.0,Fatal
52331,24345871,9597817,115.800026,-32.043714,24/08/2017,1640.0,Fatal
52506,24346046,9579915,118.559656,-31.745621999999997,26/07/2017,2315.0,Fatal
52526,24346066,9580101,121.585812,-31.500559999999997,11/01/2017,1830.0,Fatal
52527,24346067,9580107,115.76253200000001,-32.341963,28/07/2017,1550.0,Fatal
52528,24346068,9580111,115.88949,-31.912368,30/07/2017,855.0,Fatal
52529,24346069,9580117,115.74751599999999,-33.251488,29/07/2017,1925.0,Fatal
52650,24346190,9598524,115.800785,-31.882438,2/09/2017,1454.0,Fatal
52651,24346191,9598528,124.56229499999999,-17.847744,1/09/2017,1930.0,Fatal
52655,24346195,9598552,115.84034399999999,-31.834513,2/09/2017,1223.0,Fatal
52788,24346328,9580417,115.956051,-31.902055999999998,13/06/2017,1635.0,Fatal
52789,24346329,9580423,115.83062,-32.751165,18/06/2017,823.0,Fatal
