crash_id,road_user,age_group
20195005,Motorcycle rider,17_to_25
20195068,Driver,26_to_39
20195116,Driver,40_to_64
20195098,Driver,26_to_39
20195022,Driver,40_to_64
20195150,Motorcycle rider,40_to_64
20195138,Driver,40_to_64
20195037,Passenger,26_to_39
20195117,Driver,26_to_39
20195017,Driver,17_to_25
20195114,Driver,40_to_64
20195148,Driver,40_to_64
20195097,Pedestrian,40_to_64
20195009,Motorcycle rider,17_to_25
20195099,Driver,17_to_25
20195042,Pedal cyclist,26_to_39
20195112,Passenger,26_to_39
20195086,Driver,40_to_64
20195091,Passenger,40_to_64
20195091,Driver,40_to_64
20195115,Driver,65_to_74
20195055,Passenger,0_to_16
20195141,Motorcycle rider,17_to_25
20195028,Motorcycle rider,40_to_64
20195056,Driver,40_to_64
20195095,Driver,17_to_25
20195139,Driver,26_to_39
20195052,Driver,65_to_74
20195149,Passenger,75_or_older
20195030,Pedestrian,75_or_older
20195073,Driver,40_to_64
20195045,Motorcycle rider,26_to_39
20195010,Motorcycle rider,26_to_39
20195100,Driver,40_to_64
20195006,Passenger,40_to_64
20195066,Passenger,40_to_64
20195111,Driver,17_to_25
20195152,Driver,26_to_39
20195004,Driver,40_to_64
20195113,Passenger,65_to_74
20195082,Driver,75_or_older
20195070,Pedestrian,40_to_64
20195002,Pedestrian,17_to_25
20195002,Pedestrian,26_to_39
20195069,Driver,26_to_39
20195128,Driver,26_to_39
20195129,Motorcycle rider,40_to_64
20195047,Driver,17_to_25
20195013,Passenger,40_to_64
20195016,Driver,40_to_64
20195026,Motorcycle rider,40_to_64
20195094,Passenger,0_to_16
20195105,Driver,17_to_25
20195014,Motorcycle rider,40_to_64
20195088,Driver,17_to_25
20195080,Passenger,26_to_39
20195020,Driver,40_to_64
20195133,Driver,40_to_64
20195108,Pedestrian,17_to_25
20195084,Motorcycle rider,26_to_39
20195134,Driver,26_to_39
20195003,Driver,40_to_64
20195124,Passenger,26_to_39
20195103,Motorcycle rider,40_to_64
20195127,Motorcycle rider,17_to_25
20195087,Motorcycle rider,40_to_64
20195109,Motorcycle rider,40_to_64
20195132,Passenger,65_to_74
20195033,Driver,40_to_64
20195120,Passenger,17_to_25
20195031,Driver,40_to_64
20195147,Driver,17_to_25
20195151,Motorcycle rider,17_to_25
20195140,Driver,26_to_39
20195071,Motorcycle rider,40_to_64
20195077,Motorcycle rider,40_to_64
20195093,Motorcycle rider,17_to_25
20195153,Driver,40_to_64
20195048,Driver,40_to_64
20195089,Driver,40_to_64
20195029,Driver,40_to_64
20195065,Pedestrian,75_or_older
20195057,Pedestrian,17_to_25
20195104,Pedestrian,65_to_74
20195041,Driver,17_to_25
20195038,Driver,17_to_25
20195076,Driver,26_to_39
20195078,Driver,40_to_64
20195058,Driver,26_to_39
20195122,Driver,17_to_25
20195154,Passenger,75_or_older
20195021,Driver,75_or_older
20195021,Passenger,75_or_older
20195046,Motorcycle rider,17_to_25
20195130,Passenger,17_to_25
20195125,Passenger,26_to_39
20195118,Driver,40_to_64
20195135,Driver,40_to_64
20195130,Driver,40_to_64
20195054,Driver,40_to_64
20195121,Pedestrian,75_or_older
20195011,Motorcycle rider,65_to_74
20195032,Driver,75_or_older
20195060,Pedestrian,26_to_39
20195143,Passenger,65_to_74
20195024,Pedestrian,40_to_64
20185100,Driver,26_to_39
20185085,Passenger,17_to_25
20185139,Passenger,Other
20185139,Passenger,Other
20185076,Driver,17_to_25
20185114,Passenger,40_to_64
20185139,Driver,65_to_74
20185132,Driver,17_to_25
20185097,Driver,75_or_older
20185134,Pedestrian,26_to_39
20185138,Driver,40_to_64
20185036,Pedestrian,17_to_25
20185035,Pedestrian,26_to_39
20185016,Driver,17_to_25
20185104,Driver,40_to_64
20185048,Driver,75_or_older
20185049,Driver,17_to_25
20185005,Motorcycle rider,40_to_64
20185052,Motorcycle rider,40_to_64
20185007,Passenger,26_to_39
20185007,Driver,40_to_64
20185111,Pedal cyclist,65_to_74
20185001,Driver,17_to_25
20185032,Passenger,26_to_39
20185041,Driver,26_to_39
20185044,Passenger,26_to_39
20185067,Driver,65_to_74
20185008,Driver,40_to_64
20185094,Driver,17_to_25
20185095,Motorcycle rider,26_to_39
20185031,Driver,40_to_64
20185004,Driver,26_to_39
20185106,Motorcycle rider,26_to_39
20185029,Driver,26_to_39
20185092,Passenger,26_to_39
20185091,Passenger,75_or_older
20185103,Driver,17_to_25
20185070,Passenger,40_to_64
20185098,Driver,40_to_64
20185050,Passenger,40_to_64
20185079,Motorcycle rider,26_to_39
20185034,Motorcycle rider,26_to_39
20185028,Motorcycle rider,65_to_74
20185056,Motorcycle rider,26_to_39
20185021,Passenger,0_to_16
20185021,Driver,0_to_16
20185062,Driver,17_to_25
20185140,Driver,17_to_25
20185078,Driver,40_to_64
20185043,Pedestrian,17_to_25
20185046,Driver,26_to_39
20185126,Passenger,0_to_16
20185027,Passenger,17_to_25
20185119,Passenger,26_to_39
20185119,Passenger,26_to_39
20185126,Passenger,26_to_39
20185010,Driver,40_to_64
20185127,Pedestrian,0_to_16
20185093,Driver,26_to_39
20185020,Motorcycle rider,40_to_64
20185145,Passenger,26_to_39
20185083,Driver,40_to_64
20185051,Driver,40_to_64
20185003,Passenger,75_or_older
20185022,Passenger,40_to_64
20185022,Passenger,40_to_64
20185025,Driver,17_to_25
20185116,Passenger,75_or_older
20185024,Driver,40_to_64
20185115,Passenger,40_to_64
20185006,Driver,26_to_39
20185058,Motorcycle rider,26_to_39
20185142,Motorcycle rider,40_to_64
20185033,Pedal cyclist,40_to_64
20185087,Driver,40_to_64
20185011,Pedestrian,0_to_16
20185038,Driver,Other
20185018,Driver,17_to_25
20185112,Passenger,17_to_25
20185075,Driver,40_to_64
20185065,Driver,26_to_39
20185014,Pedal cyclist,26_to_39
20185045,Passenger,75_or_older
20185054,Driver,26_to_39
20185118,Driver,40_to_64
20185131,Pedestrian,17_to_25
20185128,Driver,75_or_older
20185074,Driver,40_to_64
20185123,Driver,26_to_39
20185080,Motorcycle rider,40_to_64
20185135,Driver,40_to_64
20185129,Motorcycle rider,17_to_25
20185144,Passenger,26_to_39
20185086,Pedal cyclist,75_or_older
20185109,Driver,26_to_39
20185120,Motorcycle rider,26_to_39
20185125,Driver,40_to_64
20185012,Pedestrian,75_or_older
20185013,Pedestrian,26_to_39
20185082,Other,0_to_16
20185141,Passenger,0_to_16
20185017,Passenger,17_to_25
20185066,Passenger,17_to_25
20185066,Driver,26_to_39
20185026,Driver,26_to_39
20185023,Passenger,17_to_25
20185047,Motorcycle rider,40_to_64
20185117,Motorcycle rider,40_to_64
20185063,Motorcycle rider,26_to_39
20185064,Passenger,0_to_16
20185073,Motorcycle rider,17_to_25
20185077,Motorcycle rider,17_to_25
20185039,Passenger,26_to_39
20185039,Driver,26_to_39
20185102,Motorcycle rider,40_to_64
20185040,Passenger,40_to_64
20185042,Driver,65_to_74
20185019,Motorcycle rider,26_to_39
20185136,Driver,75_or_older
20185069,Driver,17_to_25
20185137,Driver,17_to_25
20185060,Driver,26_to_39
20185071,Motorcycle rider,26_to_39
20185061,Pedal cyclist,26_to_39
20185088,Motorcycle rider,40_to_64
20185143,Driver,40_to_64
20185143,Passenger,40_to_64
20185030,Driver,40_to_64
20185099,Driver,40_to_64
20185072,Driver,65_to_74
20185110,Pedestrian,40_to_64
20185059,Pedestrian,0_to_16
20185105,Pedestrian,75_or_older
20185107,Driver,40_to_64
20185108,Motorcycle rider,40_to_64
20185057,Motorcycle rider,40_to_64
20185055,Driver,75_or_older
20185124,Driver,75_or_older
20185133,Driver,0_to_16
20185084,Driver,17_to_25
20185089,Driver,26_to_39
20185002,Pedestrian,26_to_39
20185121,Driver,40_to_64
20185009,Driver,17_to_25
20185053,Motorcycle rider,40_to_64
20185015,Driver,Other
20185068,Driver,26_to_39
20185130,Motorcycle rider,40_to_64
20185113,Driver,75_or_older
20185122,Passenger,17_to_25
20185122,Driver,17_to_25
20185101,Motorcycle rider,40_to_64
20185081,Passenger,40_to_64
20185081,Driver,40_to_64
20185081,Driver,65_to_74
20185096,Driver,26_to_39
20185090,Pedestrian,40_to_64
20185037,Driver,40_to_64
20175004,Motorcycle rider,26_to_39
20175126,Driver,26_to_39
20175026,Driver,40_to_64
20175051,Motorcycle rider,40_to_64
20175119,Driver,75_or_older
20175123,Other,75_or_older
20175021,Driver,26_to_39
20175084,Motorcycle rider,26_to_39
20175073,Motorcycle rider,40_to_64
20175117,Driver,40_to_64
20175043,Passenger,40_to_64
20175067,Motorcycle rider,65_to_74
20175017,Passenger,40_to_64
20175046,Pedestrian,75_or_older
20175151,Pedestrian,75_or_older
20175053,Passenger,65_to_74
20175054,Driver,40_to_64
20175052,Passenger,40_to_64
20175029,Driver,40_to_64
20175142,Driver,75_or_older
20175122,Passenger,17_to_25
20175083,Motorcycle rider,17_to_25
20175078,Driver,26_to_39
20175140,Passenger,26_to_39
20175045,Driver,40_to_64
20175140,Driver,40_to_64
20175036,Driver,75_or_older
20175010,Driver,17_to_25
20175012,Pedestrian,40_to_64
20175079,Pedestrian,26_to_39
20175072,Pedestrian,40_to_64
20175014,Driver,40_to_64
20175038,Driver,26_to_39
20175132,Passenger,0_to_16
20175132,Passenger,17_to_25
20175086,Passenger,26_to_39
20175090,Driver,40_to_64
20175107,Pedal cyclist,65_to_74
20175121,Driver,40_to_64
20175035,Driver,75_or_older
20175055,Motorcycle rider,17_to_25
20175087,Driver,26_to_39
20175022,Passenger,26_to_39
20175033,Driver,40_to_64
20175145,Driver,40_to_64
20175076,Driver,65_to_74
20175131,Driver,65_to_74
20175002,Driver,65_to_74
20175050,Pedestrian,75_or_older
20175019,Motorcycle rider,26_to_39
20175101,Pedal cyclist,40_to_64
20175027,Driver,26_to_39
20175093,Driver,40_to_64
20175130,Motorcycle rider,17_to_25
20175102,Driver,40_to_64
20175040,Pedal cyclist,65_to_74
20175088,Driver,65_to_74
20175059,Passenger,65_to_74
20175028,Driver,40_to_64
20175037,Pedestrian,26_to_39
20175008,Pedestrian,75_or_older
20175034,Passenger,26_to_39
20175066,Driver,75_or_older
20175100,Passenger,0_to_16
20175100,Driver,26_to_39
20175138,Driver,40_to_64
20175141,Motorcycle rider,40_to_64
20175094,Pedal cyclist,40_to_64
20175041,Driver,40_to_64
20175057,Driver,40_to_64
20175100,Driver,75_or_older
20175047,Pedestrian,75_or_older
20175127,Driver,26_to_39
20175074,Driver,40_to_64
20175113,Driver,17_to_25
20175009,Driver,75_or_older
20175031,Driver,75_or_older
20175133,Driver,26_to_39
20175104,Driver,40_to_64
20175016,Driver,40_to_64
20175081,Driver,65_to_74
20175015,Passenger,17_to_25
20175001,Other,75_or_older
20175111,Driver,40_to_64
20175070,Pedal cyclist,75_or_older
20175063,Motorcycle rider,17_to_25
20175095,Motorcycle rider,17_to_25
20175061,Passenger,40_to_64
20175006,Driver,40_to_64
20175007,Driver,40_to_64
20175091,Driver,40_to_64
20175011,Driver,40_to_64
20175011,Passenger,40_to_64
20175143,Pedestrian,75_or_older
20175147,Driver,75_or_older
20175048,Passenger,26_to_39
20175075,Passenger,17_to_25
20175098,Motorcycle rider,40_to_64
20175152,Passenger,40_to_64
20175060,Driver,40_to_64
20175124,Pedestrian,65_to_74
20175110,Driver,40_to_64
20175025,Other,0_to_16
20175085,Driver,17_to_25
20175092,Driver,17_to_25
20175092,Passenger,26_to_39
20175136,Passenger,0_to_16
20175103,Driver,17_to_25
20175069,Driver,17_to_25
20175096,Motorcycle rider,40_to_64
20175114,Pedestrian,17_to_25
20175116,Motorcycle rider,65_to_74
20175005,Driver,75_or_older
20175080,Motorcycle rider,17_to_25
20175108,Pedal cyclist,17_to_25
20175049,Motorcycle rider,26_to_39
20175030,Motorcycle rider,26_to_39
20175071,Driver,26_to_39
20175099,Passenger,17_to_25
20175025,Passenger,26_to_39
20175135,Driver,17_to_25
20175068,Passenger,40_to_64
20175112,Driver,26_to_39
20175106,Motorcycle rider,40_to_64
20175042,Driver,17_to_25
20175125,Driver,75_or_older
20175056,Other,75_or_older
20175148,Motorcycle rider,17_to_25
20175018,Driver,26_to_39
20175109,Passenger,26_to_39
20175120,Motorcycle rider,40_to_64
20175105,Driver,40_to_64
20175077,Driver,40_to_64
20175115,Pedal cyclist,65_to_74
20175137,Pedestrian,0_to_16
20175039,Driver,75_or_older
20175065,Driver,40_to_64
20175134,Passenger,75_or_older
20175118,Motorcycle rider,17_to_25
20175149,Driver,40_to_64
20175023,Passenger,75_or_older
20175032,Passenger,17_to_25
20175003,Driver,40_to_64
20175139,Driver,17_to_25
20175144,Passenger,17_to_25
20175128,Driver,40_to_64
20175044,Passenger,0_to_16
20175024,Driver,17_to_25
20175082,Driver,17_to_25
20175013,Driver,75_or_older
20175058,Motorcycle rider,17_to_25
20175089,Driver,17_to_25
20175064,Passenger,65_to_74
20175064,Passenger,65_to_74
20175146,Driver,75_or_older
20175062,Motorcycle rider,17_to_25
20175150,Driver,26_to_39
20175129,Pedestrian,0_to_16
20175097,Motorcycle pillion passenger,0_to_16
20165039,Driver,17_to_25
20165162,Driver,17_to_25
20165113,Driver,26_to_39
20165105,Driver,26_to_39
20165012,Passenger,26_to_39
20165012,Driver,40_to_64
20165036,Motorcycle rider,0_to_16
20165158,Driver,40_to_64
20165088,Passenger,0_to_16
20165062,Passenger,17_to_25
20165062,Driver,17_to_25
20165110,Passenger,17_to_25
20165110,Passenger,17_to_25
20165032,Driver,26_to_39
20165151,Driver,40_to_64
20165081,Driver,40_to_64
20165025,Passenger,17_to_25
20165131,Pedestrian,26_to_39
20165027,Motorcycle pillion passenger,0_to_16
20165011,Driver,26_to_39
20165041,Motorcycle rider,26_to_39
20165089,Motorcycle rider,26_to_39
20165117,Driver,17_to_25
20165043,Motorcycle rider,26_to_39
20165119,Driver,26_to_39
20165160,Driver,40_to_64
20165168,Driver,26_to_39
20165077,Motorcycle rider,40_to_64
20165156,Driver,26_to_39
20165125,Motorcycle rider,75_or_older
20165126,Driver,17_to_25
20165066,Driver,40_to_64
20165136,Driver,40_to_64
20165078,Pedestrian,40_to_64
20165003,Pedestrian,75_or_older
20165156,Passenger,0_to_16
20165170,Motorcycle rider,17_to_25
20165122,Driver,26_to_39
20165018,Driver,40_to_64
20165022,Motorcycle rider,17_to_25
20165071,Motorcycle rider,26_to_39
20165097,Motorcycle rider,26_to_39
20165167,Motorcycle pillion passenger,0_to_16
20165121,Passenger,0_to_16
20165121,Driver,0_to_16
20165138,Passenger,17_to_25
20165138,Passenger,17_to_25
20165034,Driver,26_to_39
20165121,Passenger,26_to_39
20165069,Passenger,26_to_39
20165069,Driver,26_to_39
20165087,Driver,75_or_older
20165128,Motorcycle rider,26_to_39
20165101,Motorcycle rider,40_to_64
20165086,Driver,40_to_64
20165038,Pedestrian,40_to_64
20165023,Motorcycle rider,40_to_64
20165007,Passenger,40_to_64
20165102,Driver,17_to_25
20165157,Driver,17_to_25
20165149,Driver,17_to_25
20165085,Driver,17_to_25
20165115,Other,17_to_25
20165146,Motorcycle rider,26_to_39
20165053,Motorcycle rider,40_to_64
20165010,Motorcycle rider,40_to_64
20165109,Driver,65_to_74
20165007,Passenger,65_to_74
20165165,Pedestrian,65_to_74
20165103,Passenger,17_to_25
20165103,Passenger,17_to_25
20165107,Driver,26_to_39
20165103,Driver,26_to_39
20165050,Driver,26_to_39
20165099,Driver,40_to_64
20165068,Driver,40_to_64
20165058,Motorcycle rider,40_to_64
20165133,Driver,17_to_25
20165009,Passenger,17_to_25
20165095,Motorcycle rider,17_to_25
20165067,Driver,75_or_older
20165123,Passenger,75_or_older
20165123,Driver,75_or_older
20165028,Passenger,40_to_64
20165140,Driver,65_to_74
20165024,Passenger,17_to_25
20165152,Passenger,0_to_16
20165037,Driver,26_to_39
20165106,Passenger,26_to_39
20165150,Driver,26_to_39
20165055,Driver,40_to_64
20165046,Driver,40_to_64
20165144,Driver,40_to_64
20165045,Other,0_to_16
20165073,Driver,26_to_39
20165054,Motorcycle rider,40_to_64
20165084,Pedal cyclist,0_to_16
20165031,Motorcycle rider,17_to_25
20165090,Driver,17_to_25
20165005,Driver,40_to_64
20165083,Motorcycle rider,40_to_64
20165017,Driver,40_to_64
20165143,Pedestrian,75_or_older
20165094,Pedestrian,40_to_64
20165056,Pedestrian,40_to_64
20165001,Motorcycle rider,26_to_39
20165130,Driver,40_to_64
20165166,Driver,17_to_25
20165134,Driver,26_to_39
20165120,Driver,75_or_older
20165051,Driver,17_to_25
20165042,Driver,17_to_25
20165048,Driver,26_to_39
20165029,Pedestrian,26_to_39
20165064,Driver,26_to_39
20165013,Driver,17_to_25
20165145,Driver,40_to_64
20165100,Driver,26_to_39
20165100,Driver,26_to_39
20165139,Driver,40_to_64
20165164,Motorcycle rider,40_to_64
20165049,Driver,40_to_64
20165163,Motorcycle rider,40_to_64
20165035,Driver,65_to_74
20165063,Passenger,26_to_39
20165008,Driver,40_to_64
20165061,Pedestrian,75_or_older
20165002,Driver,26_to_39
20165112,Driver,26_to_39
20165033,Driver,17_to_25
20165135,Passenger,0_to_16
20165129,Passenger,17_to_25
20165129,Driver,17_to_25
20165040,Driver,17_to_25
20165040,Passenger,17_to_25
20165091,Driver,26_to_39
20165141,Pedestrian,0_to_16
20165111,Pedestrian,17_to_25
20165047,Motorcycle rider,40_to_64
20165006,Driver,26_to_39
20165059,Passenger,17_to_25
20165044,Driver,17_to_25
20165059,Passenger,26_to_39
20165059,Driver,26_to_39
20165044,Passenger,26_to_39
20165148,Driver,17_to_25
20165075,Driver,40_to_64
20165015,Passenger,17_to_25
20165020,Driver,17_to_25
20165137,Motorcycle rider,26_to_39
20165153,Motorcycle rider,40_to_64
20165116,Driver,26_to_39
20165142,Motorcycle rider,26_to_39
20165093,Motorcycle rider,26_to_39
20165019,Driver,40_to_64
20165155,Pedal cyclist,40_to_64
20165021,Driver,40_to_64
20165052,Pedal cyclist,65_to_74
20165161,Driver,65_to_74
20165044,Driver,40_to_64
20165080,Motorcycle pillion passenger,17_to_25
20165080,Driver,17_to_25
20165169,Passenger,17_to_25
20165169,Passenger,17_to_25
20165124,Driver,40_to_64
20165057,Driver,26_to_39
20165104,Motorcycle rider,26_to_39
20165004,Motorcycle rider,40_to_64
20165098,Passenger,0_to_16
20165026,Motorcycle rider,40_to_64
20165147,Motorcycle rider,26_to_39
20165016,Driver,26_to_39
20165132,Pedestrian,65_to_74
20165070,Driver,17_to_25
20165060,Driver,17_to_25
20165014,Motorcycle rider,26_to_39
20165127,Driver,26_to_39
20165072,Driver,40_to_64
20165030,Driver,40_to_64
20165092,Motorcycle rider,40_to_64
20165076,Driver,40_to_64
20165159,Driver,40_to_64
20165082,Driver,75_or_older
20165096,Driver,17_to_25
20165154,Driver,17_to_25
20165118,Driver,17_to_25
20165108,Driver,26_to_39
20165096,Driver,26_to_39
20165079,Driver,40_to_64
20165082,Passenger,65_to_74
20165114,Motorcycle rider,65_to_74
20165065,Pedestrian,40_to_64
20165074,Passenger,26_to_39
20155009,Pedal cyclist,40_to_64
20155044,Passenger,17_to_25
20155044,Passenger,17_to_25
20155044,Passenger,17_to_25
20155034,Motorcycle rider,40_to_64
20155018,Passenger,40_to_64
20155021,Passenger,0_to_16
20155035,Motorcycle rider,40_to_64
20155116,Motorcycle rider,0_to_16
20155003,Passenger,0_to_16
20155081,Pedestrian,26_to_39
20155102,Motorcycle rider,26_to_39
20155080,Driver,26_to_39
20155011,Motorcycle rider,40_to_64
20155139,Driver,26_to_39
20155103,Passenger,65_to_74
20155045,Driver,26_to_39
20155004,Driver,17_to_25
20155004,Passenger,26_to_39
20155058,Driver,26_to_39
20155112,Driver,17_to_25
20155006,Passenger,26_to_39
20155071,Driver,26_to_39
20155121,Passenger,26_to_39
20155026,Driver,40_to_64
20155024,Pedestrian,40_to_64
20155063,Pedestrian,40_to_64
20155140,Passenger,40_to_64
20155114,Passenger,17_to_25
20155053,Driver,26_to_39
20155097,Driver,40_to_64
20155015,Driver,40_to_64
20155042,Motorcycle rider,40_to_64
20155076,Passenger,75_or_older
20155130,Driver,26_to_39
20155137,Motorcycle rider,26_to_39
20155008,Driver,40_to_64
20155086,Driver,40_to_64
20155008,Passenger,65_to_74
20155029,Pedestrian,40_to_64
20155117,Passenger,17_to_25
20155106,Passenger,17_to_25
20155135,Driver,40_to_64
20155099,Driver,26_to_39
20155030,Driver,26_to_39
20155129,Driver,26_to_39
20155111,Driver,40_to_64
20155072,Passenger,17_to_25
20155037,Driver,40_to_64
